Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.458984375,0.013277571,,0.893740316,0.00159697,,0.361328125,0.014664489,,0.80613,0.00418,,0.44618395,0.013748917,,0.899813786,0.001686612,,0.349609375,0.014904633,,0.831803704,0.003530547
0.449652791,0.013174098,,0.858207191,0.002156259,,0.35826087,0.014611622,,0.80309,0.00407,,0.459130436,0.013592877,,0.90452823,0.001588353,,0.355902791,0.015199661,,0.815841332,0.003392696
0.442187518,0.013148213,,0.704614148,0.008163132,,0.364632249,0.014682167,,0.81053,0.00391,,0.452269167,0.013679069,,0.915363764,0.001513086,,0.356250018,0.01501998,,0.828015725,0.003421387
0.428977281,0.013291841,,0.734125192,0.004054473,,0.359886199,0.014540459,,0.81098,0.00389,,0.445234716,0.013550921,,0.915790806,0.001461115,,0.363636374,0.014845297,,0.830989003,0.003367994
0.43415904,0.013210608,,0.795499111,0.003038803,,0.355932206,0.01443944,,0.8104,0.0039,,0.439374179,0.013569777,,0.922304407,0.001452143,,0.370273799,0.014732261,,0.825414931,0.003385723
0.578125,0.011221321,,0.876663407,0.002088836,,0.390625,0.017164283,,0.80216,0.00392,,0.46875,0.014611117,,0.855652004,0.002112762,,0.328125,0.014482028,,0.813962092,0.003414561
0.53125,0.011453757,,0.929363181,0.001417065,,0.375,0.015917298,,0.77625,0.00425,,0.421875,0.015014453,,0.847252548,0.002836535,,0.390625,0.013897684,,0.821695134,0.003304366
0.510416687,0.011880861,,0.947985699,0.001182532,,0.369791687,0.014978678,,0.75259,0.00466,,0.421875,0.014280071,,0.81799603,0.002446558,,0.395833343,0.013810837,,0.840949987,0.00317374
0.5078125,0.011660626,,0.961994429,0.000971977,,0.35546875,0.014780223,,0.66475,0.00606,,0.427451015,0.013823812,,0.858530795,0.00203458,,0.38671875,0.014742685,,0.831482679,0.003311898
0.493750006,0.012040829,,0.966160804,0.000865628,,0.362500012,0.01422724,,0.75742,0.00447,,0.438871473,0.013482304,,0.892004728,0.00184494,,0.384375006,0.014701048,,0.802100544,0.003517305
0.5,0.011765099,,0.961285094,0.000820686,,0.369791687,0.014062248,,0.77544,0.00442,,0.438642293,0.01345188,,0.836837461,0.0023681,,0.401041687,0.014267485,,0.780108904,0.003737423
0.475446463,0.012266375,,0.964551757,0.00077355,,0.381696433,0.013947262,,0.76939,0.00433,,0.445190161,0.013103243,,0.799024999,0.003139724,,0.397321433,0.014252286,,0.691825464,0.00494151
0.4609375,0.012443206,,0.956802805,0.000780751,,0.384765625,0.013849845,,0.73906,0.00452,,0.457925618,0.012924178,,0.740906467,0.00490404,,0.404296875,0.014239946,,0.672493597,0.005714112
