Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.42578125,0.013929319,,0.794076761,0.002768612,,0.330724061,0.014486016,,0.808644469,0.003005093,,0.348336577,0.014865859,,0.77901,0.00407,,0.332681,0.014986535,,0.773327793,0.003574933
0.435763896,0.013806056,,0.770217906,0.003264413,,0.325217396,0.01443688,,0.808338344,0.002918893,,0.344347835,0.014995198,,0.79539,0.00398,,0.335652173,0.014861391,,0.798878526,0.003783106
0.428124994,0.013884158,,0.778975358,0.003269079,,0.328638494,0.014667727,,0.817547331,0.002719221,,0.333333343,0.015231722,,0.7877,0.00395,,0.327073544,0.014652607,,0.828866517,0.003035764
0.431818187,0.013822327,,0.845824267,0.00245877,,0.342816502,0.014743988,,0.826917057,0.002334122,,0.330014229,0.01541601,,0.7795,0.00393,,0.331436694,0.014563743,,0.871321683,0.002616446
0.428943932,0.01375578,,0.846238747,0.002005176,,0.350717068,0.014546,,0.867904524,0.002179075,,0.324641466,0.015334749,,0.76037,0.00398,,0.332464129,0.014453502,,0.879239405,0.002436378
0.5,0.012455455,,0.822562948,0.002428003,,0.53125,0.013172805,,0.870233958,0.002053927,,0.359375,0.014289212,,0.74051,0.00452,,0.375,0.012411022,,0.906806812,0.001811716
0.4140625,0.014374859,,0.820895265,0.002798228,,0.4375,0.013952726,,0.835819458,0.002253657,,0.3046875,0.015096367,,0.65803,0.00588,,0.359375,0.014239954,,0.909723481,0.001597393
0.432291687,0.01357601,,0.766187921,0.003976411,,0.442708343,0.013408387,,0.822234581,0.002390713,,0.328125,0.015024415,,0.67297,0.00543,,0.324607342,0.015288901,,0.935939267,0.001445133
0.41796875,0.013623344,,0.803217466,0.003857973,,0.450980425,0.013188315,,0.839790955,0.002280756,,0.33984375,0.014745448,,0.76561,0.00462,,0.333333343,0.014520874,,0.953761722,0.001244892
0.434375018,0.01337649,,0.764857958,0.004467507,,0.451410651,0.013207273,,0.845604286,0.002250781,,0.337500006,0.014688649,,0.78562,0.00389,,0.332288384,0.014720239,,0.965463902,0.001078506
0.432291687,0.013271906,,0.85770682,0.002432041,,0.449086159,0.013279958,,0.816063533,0.002543304,,0.34375,0.014521632,,0.78196,0.00389,,0.331592709,0.014810216,,0.975742877,0.000962608
0.433035731,0.013342753,,0.926816508,0.001406532,,0.429530203,0.013377694,,0.808922748,0.002802442,,0.342281878,0.014635195,,0.7816,0.00398,,0.340044737,0.014721224,,0.976485699,0.000939893
0.435546875,0.013160707,,0.936164126,0.001202311,,0.426614463,0.013918324,,0.826677402,0.002602694,,0.356164396,0.014472298,,0.75641,0.00426,,0.33463797,0.014538666,,0.975450834,0.000900374
0.444444448,0.013088673,,0.947427193,0.000996393,,0.419130445,0.013883834,,0.841202656,0.002365197,,0.351304352,0.014625261,,0.67737,0.00525,,0.337391317,0.014451984,,0.981196314,0.000867761
0.440625012,0.013171346,,0.943216279,0.000990485,,0.413145542,0.014127085,,0.787794118,0.002814158,,0.339593112,0.01485614,,0.71017,0.00583,,0.328638494,0.014279169,,0.982527157,0.000840214
0.444602281,0.013139918,,0.947411468,0.000924042,,0.423897564,0.014214214,,0.762086953,0.002977296,,0.335704118,0.015089098,,0.66199,0.00574,,0.332859159,0.01420553,,0.98337919,0.000799127
0.445893079,0.013128702,,0.937970892,0.000985175,,0.428943932,0.014017782,,0.737560183,0.003645771,,0.329856575,0.015005633,,0.78912,0.00406,,0.333767921,0.014121918,,0.987426261,0.000758732
0.53125,0.011957714,,0.930606455,0.001088594,,0.546875,0.012760163,,0.778680444,0.003596709,,0.359375,0.01398801,,0.81327,0.00366,,0.375,0.012406975,,0.987426261,0.000722906
0.421875,0.014031033,,0.913509607,0.001232409,,0.453125,0.01378414,,0.75735037,0.004050379,,0.3046875,0.014886202,,0.85789,0.00323,,0.3671875,0.014110968,,0.994326964,0.000692355
0.453125,0.01316504,,0.88030084,0.001425983,,0.463541687,0.013235434,,0.773599272,0.003706748,,0.322916687,0.014817719,,0.83715,0.00329,,0.345549732,0.015195705,,0.994326964,0.00067081
0.4375,0.013214532,,0.855633671,0.001735298,,0.466666698,0.012905245,,0.762545601,0.003698843,,0.3515625,0.014490623,,0.84294,0.00328,,0.376470625,0.014403457,,0.994326964,0.000656249
