Accuracy,loss,,,,,,Accuracy,loss,,,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.415143609,0.012978812,,,0.757995158,0.003056528,,0.427293062,0.013488499,,0.83141766,0.002555609,,,,0.355704695,0.014335641,,0.723084087,0.005613336,,0.429530203,0.013893774,,0.822950497,0.004026945
0.418344527,0.012772808,,,0.787476048,0.003014867,,0.420743644,0.013317758,,0.782745992,0.003091334,,,,0.371819973,0.014176965,,0.722614373,0.005044803,,0.428571433,0.013714177,,0.82585005,0.003924324
0.424657524,0.01274215,,,0.736897891,0.003991425,,0.420869589,0.013349805,,0.771226888,0.003408592,,,,0.386086971,0.01412333,,0.763646995,0.004565576,,0.413913041,0.013662808,,0.827146565,0.003825505
0.424347848,0.012753682,,,0.837419127,0.002555113,,0.42566511,0.013226087,,0.881719232,0.002040649,,,,0.394366205,0.014046437,,0.779133777,0.004392522,,0.408450693,0.01381873,,0.832763339,0.003728576
0.43192488,0.012432848,,,0.876275197,0.002036621,,0.423897564,0.012986198,,0.82995454,0.002179026,,,,0.395448089,0.013946271,,0.777704055,0.004223033,,0.406827867,0.013751575,,0.835131049,0.003633526
0.432432413,0.012539157,,,0.871866882,0.001835301,,0.430247724,0.013190195,,0.792195842,0.002731889,,,,0.397653192,0.013895308,,0.756578748,0.004545197,,0.406779647,0.013688308,,0.846082787,0.003548541
0.438070387,0.012483472,,,0.899484898,0.001733986,,0.5,0.01175046,,0.770411983,0.003184923,,,,0.375,0.014342371,,0.723511403,0.004797493,,0.484375,0.012463748,,0.848265618,0.00347572
0.5,0.009566234,,,0.882500395,0.001701461,,0.5078125,0.012028035,,0.777136549,0.004014431,,,,0.3828125,0.013982261,,0.662711064,0.005637492,,0.472440958,0.012476491,,0.850359574,0.00341413
0.5,0.010642304,,,0.904092168,0.001540181,,0.489583343,0.012229257,,0.789483209,0.003469899,,,,0.36125654,0.014179063,,0.661204437,0.006606992,,0.465968579,0.01289833,,0.855590021,0.00336184
0.471204191,0.012060195,,,0.882879267,0.001593088,,0.46484375,0.012813824,,0.83719329,0.002423326,,,,0.384313762,0.013755956,,0.653901607,0.006057688,,0.454901993,0.01308056,,0.858349567,0.003316854
0.478431404,0.011635672,,,0.902782395,0.00150271,,0.478125006,0.012538392,,0.857499957,0.002123829,,,,0.376175553,0.013762147,,0.630870958,0.005917642,,0.460815042,0.012619628,,0.859527831,0.003277834
